"","Cni.Cbr","Cbr.ZZY10330_h1","Cni.ZZY10330_h1","cis_trans","inheritance","logFC.ZZY10330.vs.Cbr","logFC.ZZY10330.vs.Cni","logFC.species","position","chromosome","introgression","Inheritance_sum","cis_trans_sum"
"WBGene00040698__Cni-imb-3",0,0,1,"ambiguous","ambiguous",0.392260385043663,0.725548821274648,-0.276977427628748,2703878,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040699__Cni-xpo-2",0,0,0,"conserved","no change",-0.248907309731675,-0.0715481372846266,-0.123829179957287,2709867,"I","C. nigoni background","No change","Conserved"
"WBGene00040700__Cni-Y48G1A.4",-1,0,0,"ambiguous","ambiguous",-1.08370649232855,0.369583030837199,-1.40205436450298,2715663,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040703__Cni-daf-25",1,1,0,"no effect","C. nigoni dominant",9.17920668837498,0.184958007937657,9.04863345933232,2724805,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040706__Cni-ztf-3",0,0,0,"conserved","no change",-0.155303400012029,0.344052420402257,-0.462260199080751,2752786,"I","C. nigoni background","No change","Conserved"
"WBGene00040707__Cni-C53D5.1",0,0,0,"conserved","no change",-0.527133297236156,-0.820312541580076,0.347066623700041,2774368,"I","C. nigoni background","No change","Conserved"
"WBGene00040708__Cni-gap-3",0,0,0,"conserved","no change",1.00657355787327,0.941924797016059,0.117680754488797,2780734,"I","C. nigoni background","No change","Conserved"
"WBGene00270388__Cnig_chr_I.g512",0,0,0,"conserved","no change",-2.55677899778519,-0.160565000766488,-2.33025513173413,2809425,"I","C. nigoni background","No change","Conserved"
"WBGene00040711__Cni-gsa-1",0,1,1,"compensatory trans up","overdominant",0.9766032789266,1.46510415836137,-0.431509305643974,2815711,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040714__Cnig_chr_I.g515",-1,-1,0,"no effect","C. nigoni dominant",-1.34740285118313,0.453783490472571,-1.74368639289003,2826439,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040714__Cni-npr-23",-1,-1,0,"no effect","C. nigoni dominant",-3.84516052885964,0.895223103768593,-4.68220350850925,2828837,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040715__Cnig_chr_I.g519",0,0,0,"conserved","no change",-0.494095231411041,0.296611804137382,-0.74331288076549,2837502,"I","C. nigoni background","No change","Conserved"
"WBGene00040716__Cni-R06A10.1",0,0,0,"conserved","no change",-0.170296616457934,1.31364048832231,-1.44086562839956,2843216,"I","C. nigoni background","No change","Conserved"
