"","Cni.Cbr","Cbr.ZZY10330_h1","Cni.ZZY10330_h1","cis_trans","inheritance","logFC.ZZY10330.vs.Cbr","logFC.ZZY10330.vs.Cni","logFC.species","position","chromosome","introgression","Inheritance_sum","cis_trans_sum"
"WBGene00040794__Cnig_chr_I.g41",0,0,0,"conserved","no change",-0.0992026940839714,5.46537109227027,-5.48770237505406,172432,"I","C. nigoni background","No change","Conserved"
"WBGene00035321__Cnig_chr_I.g890",-1,-1,1,"C. briggsae partial trans up","additive up",-6.27592545758537,6.44026116780304,-12.6773847089275,4319024,"I","C. nigoni background","Additive","cis-trans"
"WBGene00042584__Cni-ahr-1",-1,0,0,"ambiguous","ambiguous",-1.06026292115498,5.92130763838894,-6.92869823416429,6585462,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00304208__Cnig_chr_I.g1813",0,0,0,"conserved","no change",0.483689745054985,5.25679591403855,-4.74473864283597,7931211,"I","C. nigoni background","No change","Conserved"
"WBGene00086772__Cni-T10E9.5",0,0,1,"ambiguous","ambiguous",2.34272890718732,6.75849092284611,-4.35985682371264,10264793,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00030291__Cni-ceh-45",0,0,0,"conserved","no change",1.16728395493329,1.37941260772716,-0.140375060510307,11670504,"I","C. nigoni background","No change","Conserved"
"WBGene00270918__Cnig_chr_I.g3234",0,0,0,"conserved","no change",1.24661486420849,1.20124284927106,0.114595555785682,13288763,"I","C. nigoni background","No change","Conserved"
"WBGene00038180__Cnig_chr_I.g3196",-1,0,0,"ambiguous","ambiguous",-2.05192493020697,2.06507534556088,-4.07838929611908,13152712,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00035974__Cnig_chr_I.g3415",0,0,0,"conserved","no change",6.89245328832847,1.20709365935649,5.7116090805684,14100047,"I","C. nigoni background","No change","Conserved"
"WBGene00035672__Cni-K11D2.1",-1,0,0,"ambiguous","ambiguous",-0.83542624399872,3.69050408619512,-4.46974658555933,14780065,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00038903__Cni-F33H2.8",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-1.60385566972226,6.14524672291809,-7.69835231936487,16046794,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023726__Cnig_chr_I.g178",0,0,0,"conserved","no change",2.08879260954839,2.8585800517181,-0.717324507706008,914971,"I","C. nigoni background","No change","Conserved"
"WBGene00023698__Cni-del-3",0,0,0,"conserved","no change",1.62501607058688,6.17510012258928,-4.47672297895368,1161629,"I","C. nigoni background","No change","Conserved"
"WBGene00041186__Cni-W04C9.6",0,0,0,"conserved","no change",2.58180017908816,2.55305811442831,0.119371604502134,2317230,"I","C. nigoni background","No change","Conserved"
"WBGene00038085__Cnig_chr_II.g4257",0,0,0,"conserved","no change",-1.59237346490299,1.48918380265584,-3.03398066617333,1705685,"II","C. nigoni background","No change","Conserved"
"WBGene00037867__Cnig_chr_II.g4305",-1,0,0,"ambiguous","ambiguous",-3.05801001689097,3.56532029200641,-6.549337979502,1993160,"II","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00034240__Cni-T05C1.2",0,0,0,"conserved","no change",-2.20252676984535,-0.0327330044225607,-2.1263365348982,2856336,"II","C. nigoni background","No change","Conserved"
"WBGene00034226__Cni-clec-139",0,0,0,"conserved","no change",1.44865745424267,6.46651221997485,-4.95863393181812,2958625,"II","C. nigoni background","No change","Conserved"
"WBGene00034116__Cni-K02C4.2",0,0,0,"conserved","no change",-0.726813068973579,0.319226726432695,-0.973741542416729,3776023,"II","C. nigoni background","No change","Conserved"
"WBGene00284885__Cnig_chr_II.g4678",-1,0,0,"ambiguous","ambiguous",0.37631485868837,6.30904950855003,-5.89536481461435,3958766,"II","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00032245__Cni-R05H10.1",-1,0,0,"ambiguous","ambiguous",-2.53481567947304,2.10141385525054,-4.58174481892573,5563096,"II","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00033940__Cni-C30G12.2",-1,-1,0,"no effect","C. nigoni dominant",-2.60675191997035,2.3891296936015,-4.96094867165376,6873134,"II","C. nigoni background","Cni dominant","No change"
"WBGene00033891__Cnig_chr_II.g5350",-1,-1,0,"no effect","C. nigoni dominant",-4.54565001538398,1.28648324516554,-5.83799874691831,7038862,"II","C. nigoni background","Cni dominant","No change"
"WBGene00033888__Cnig_chr_II.g5353",0,0,0,"conserved","no change",1.42646523221272,1.85564957089232,-0.343701443005331,7046056,"II","C. nigoni background","No change","Conserved"
"WBGene00025905__Cni-T06D8.3",-1,0,0,"ambiguous","ambiguous",-1.32870677125393,4.97878358442475,-6.22854850441766,9014017,"II","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00025689__Cni-R05G9R.1",0,0,0,"conserved","no change",-0.42825903350726,5.57628160800924,-5.95837350308038,10148206,"II","C. nigoni background","No change","Conserved"
"WBGene00039839__Cni-Y57A10B.2",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-1.78184596712368,5.74644269669025,-7.45850779112062,13212829,"II","C. nigoni background","Cbr dominant","trans-only"
"WBGene00040167__Cnig_chr_II.g7268",0,0,0,"conserved","no change",-1.27226881911602,2.2862258491211,-3.51530371071032,14855518,"II","C. nigoni background","No change","Conserved"
"WBGene00040192__Cnig_chr_II.g7332",0,0,0,"conserved","no change",1.10992902049558,6.44484429297601,-5.27339258631792,15109111,"II","C. nigoni background","No change","Conserved"
"WBGene00029758__Cnig_chr_II.g7414",-1,0,0,"ambiguous","ambiguous",-3.2447530692781,1.51257439918308,-4.641409620861,15410130,"II","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00087196__Cnig_chr_II.g8131",-1,0,0,"ambiguous","ambiguous",-2.30143584640264,1.84706208472986,-4.08329802387244,18323040,"II","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00087469__Cni-ceh-23",0,0,0,"conserved","no change",-1.14652740301424,0.880530962962166,-1.98640050352534,13171150,"III","C. nigoni background","No change","Conserved"
